Op.,WoO,Hess,Biamonti,Title,Key,Scoring,Genre,Comments,name,year,minor,key_note
Op. 1 No. 1,,,Biamonti 62/1, Piano Trios : Piano Trio,E flat major, vn vc pf,Chamber, NaN,"Op. 1 No. 1, Biamonti 62/1",1793.0,0.0,E flat
Op. 1 No. 2,,,Biamonti 62/2, Piano Trios : Piano Trio,G major, vn vc pf,Chamber, NaN,"Op. 1 No. 2, Biamonti 62/2",1794.0,0.0,G
Op. 1 No. 3,,,Biamonti 62/3, Piano Trios : Piano Trio,C minor, vn vc pf,Chamber, arr. for 2vn va vc as Op.104,"Op. 1 No. 3, Biamonti 62/3",1794.0,1.0,C
Op. 2 No. 1,,,Biamonti 87/1, Piano Sonatas : Piano Sonata No.1,F minor, pf,Keyboard, NaN,"Op. 2 No. 1, Biamonti 87/1",1795.0,1.0,F
Op. 2 No. 2,,,Biamonti 87/2, Piano Sonatas : Piano Sonata No.2,A major, pf,Keyboard, NaN,"Op. 2 No. 2, Biamonti 87/2",1795.0,0.0,A
Op. 2 No. 3,,,Biamonti 87/3, Piano Sonatas : Piano Sonata No.3,C major, pf,Keyboard, NaN,"Op. 2 No. 3, Biamonti 87/3",1795.0,0.0,C
Op. 3,,,Biamonti 105, String Trio,E flat major, vn va vc,Chamber, see also Op.64,"Op. 3, Biamonti 105",1794.0,0.0,E flat
Op. 4,,,Biamonti 115, String Quintet,E flat major, 2vn 2va vc,Chamber, based on Op.103; see also Op.63,"Op. 4, Biamonti 115",1795.0,0.0,E flat
Op. 5 No. 1,,,Biamonti 106/1, Cello Sonatas :  Cello Sonata No.1,F major, vc pf,Chamber, NaN,"Op. 5 No. 1, Biamonti 106/1",1796.0,0.0,F
Op. 5 No. 2,,,Biamonti 106/2, Cello Sonatas :  Cello Sonata No.2,G minor, vc pf,Chamber, NaN,"Op. 5 No. 2, Biamonti 106/2",1796.0,1.0,G
Op. 6,,,Biamonti 134, Sonata for Piano Four Hands in D major,D major, pf4h,Keyboard, NaN,"Op. 6, Biamonti 134",1797.0,0.0,D
Op. 7,,,Biamonti 136, Piano Sonata No.4 ('Grand Sonata'),E flat major, pf,Keyboard, NaN,"Op. 7, Biamonti 136",1797.0,0.0,E flat
Op. 8,,,Biamonti 135, Serenade,D major, vn va vc,Chamber, NaN,"Op. 8, Biamonti 135",1797.0,0.0,D
Op. 9 No. 1,,,Biamonti 153/1, String Trios : String Trio,G major, vn va vc,Chamber, NaN,"Op. 9 No. 1, Biamonti 153/1",1798.0,0.0,G
Op. 9 No. 2,,,Biamonti 153/2, String Trios : String Trio,D major, vn va vc,Chamber, NaN,"Op. 9 No. 2, Biamonti 153/2",1798.0,0.0,D
Op. 9 No. 3,,,Biamonti 153/3, String Trios : String Trio,C minor, vn va vc,Chamber, NaN,"Op. 9 No. 3, Biamonti 153/3",1798.0,1.0,C
Op. 10 No. 1,,,Biamonti 157/1, Piano Sonatas : Piano Sonata No.5,C minor, pf,Keyboard, NaN,"Op. 10 No. 1, Biamonti 157/1",1797.0,1.0,C
Op. 10 No. 2,,,Biamonti 157/2, Piano Sonatas : Piano Sonata No.6,F major, pf,Keyboard, NaN,"Op. 10 No. 2, Biamonti 157/2",1797.0,0.0,F
Op. 10 No. 3,,,Biamonti 157/3, Piano Sonatas : Piano Sonata No.7,D major, pf,Keyboard, NaN,"Op. 10 No. 3, Biamonti 157/3",1798.0,0.0,D
Op. 11,,,Biamonti 156, Trio in B-flat major ('Gassenhauer'),B flat major, cl/vn vc pf,Chamber, NaN,"Op. 11, Biamonti 156",1798.0,0.0,B flat
Op. 12 No. 1,,,Biamonti 165/1, Violin Sonatas : Violin Sonata No.1,D major, vn pf,Chamber, NaN,"Op. 12 No. 1, Biamonti 165/1",1798.0,0.0,D
Op. 12 No. 2,,,Biamonti 165/2, Violin Sonatas : Violin Sonata No.2,A major, vn pf,Chamber, NaN,"Op. 12 No. 2, Biamonti 165/2",1798.0,0.0,A
Op. 12 No. 3,,,Biamonti 165/3, Violin Sonatas : Violin Sonata No.3,E flat major, vn pf,Chamber, NaN,"Op. 12 No. 3, Biamonti 165/3",1798.0,0.0,E flat
Op. 13,,,Biamonti 184, Piano Sonata No.8 ('Pathétique'),C minor, pf,Keyboard, NaN,"Op. 13, Biamonti 184",1798.0,1.0,C
Op. 14 No. 1,,,Biamonti 285, Piano Sonatas : Piano Sonata No.9,E major, pf,Keyboard, NaN,"Op. 14 No. 1, Biamonti 285",1799.0,0.0,E
Op. 14 No. 2,,,Biamonti 284, Piano Sonatas : Piano Sonata No.10,G major, pf,Keyboard, NaN,"Op. 14 No. 2, Biamonti 284",1799.0,0.0,G
Op. 15,,,Biamonti 167, Piano Concerto No.1,C major, pf orch,Orchestral, NaN,"Op. 15, Biamonti 167",1718.0,0.0,C
Op. 16,,,Biamonti 130, Quintet in E-flat major,E flat major, ob cl bn hn pf,Chamber, arr for vn va vc pf as Op.16a,"Op. 16, Biamonti 130",1797.0,0.0,E flat
Op. 16a,,,Biamonti 131, Quintet in E-flat major,E flat major, vn va vc pf,Chamber, arr of Op.16,"Op. 16a, Biamonti 131",1797.0,0.0,E flat
Op. 17,,,Biamonti 206, Horn Sonata,F major, hn pf,Chamber, NaN,"Op. 17, Biamonti 206",1800.0,0.0,F
Op. 18 No. 1,,,Biamonti 225/1, String Quartets : String Quartet No.1,F major, 2vn va vc,Chamber, NaN,"Op. 18 No. 1, Biamonti 225/1",1718.0,0.0,F
Op. 18 No. 2,,,Biamonti 225/2, String Quartets : String Quartet No.2,G major, 2vn va vc,Chamber, NaN,"Op. 18 No. 2, Biamonti 225/2",1718.0,0.0,G
Op. 18 No. 3,,,Biamonti 225/3, String Quartets : String Quartet No.3,D major, 2vn va vc,Chamber, NaN,"Op. 18 No. 3, Biamonti 225/3",1718.0,0.0,D
Op. 18 No. 4,,,Biamonti 225/4, String Quartets : String Quartet No.4,C minor, 2vn va vc,Chamber, NaN,"Op. 18 No. 4, Biamonti 225/4",1718.0,1.0,C
Op. 18 No. 5,,,Biamonti 225/5, String Quartets : String Quartet No.5,A major, 2vn va vc,Chamber, NaN,"Op. 18 No. 5, Biamonti 225/5",1718.0,0.0,A
Op. 18 No. 6,,,Biamonti 225/6, String Quartets : String Quartet No.6,B flat major, 2vn va vc,Chamber, NaN,"Op. 18 No. 6, Biamonti 225/6",1718.0,0.0,B flat
Op. 19,,,Biamonti 166, Piano Concerto No.2,B flat major, pf orch,Orchestral, NaN,"Op. 19, Biamonti 166",1718.0,0.0,B flat
Op. 20,,,Biamonti 204, Septet,E flat major, cl bn hn vn va vc db,Chamber, NaN,"Op. 20, Biamonti 204",1799.0,0.0,E flat
Op. 21,,,Biamonti 203, Symphony No.1,C major, orch,Orchestral, NaN,"Op. 21, Biamonti 203",1718.0,0.0,C
Op. 22,,,Biamonti 208, Piano Sonata No.11,B flat major, pf,Keyboard, NaN,"Op. 22, Biamonti 208",1800.0,0.0,B flat
Op. 23,,,Biamonti 293, Violin Sonata No.4,A minor, vn pf,Chamber, NaN,"Op. 23, Biamonti 293",1801.0,1.0,A
Op. 24,,,Biamonti 294, Violin Sonata No.5,F major, vn pf,Chamber, NaN,"Op. 24, Biamonti 294",1801.0,0.0,F
Op. 25,,,Biamonti 114, Serenade,D major, For flute  violin  viola,Chamber, arr. for fl pf as Op.41,"Op. 25, Biamonti 114",1801.0,0.0,D
Op. 26,,,Biamonti 296, Piano Sonata No.12 ('Funeral March'),A flat major, pf,Keyboard, movt. III arr. for orch as WoO 96/4,"Op. 26, Biamonti 296",1801.0,0.0,A flat
Op. 27 No. 1,,,Biamonti 297/1, Piano Sonatas : Piano Sonata No.13 ('Quasi una fantasia'),E flat major, pf,Keyboard, NaN,"Op. 27 No. 1, Biamonti 297/1",1801.0,0.0,E flat
Op. 27 No. 2,,,Biamonti 297/2, Piano Sonatas : Piano Sonata No.14 ('Moonlight'),C sharp minor, pf,Keyboard, NaN,"Op. 27 No. 2, Biamonti 297/2",1801.0,1.0,C sharp
Op. 28,,,Biamonti 302, Piano Sonata No.15 ('Pastoral'),D major, pf,Keyboard, NaN,"Op. 28, Biamonti 302",1801.0,0.0,D
Op. 29,,,Biamonti 298, String Quintet in C major ('Storm'),C major, 2vn 2va vc,Chamber, NaN,"Op. 29, Biamonti 298",1801.0,0.0,C
Op. 30 No. 1,,,Biamonti 340/1, Violin Sonatas : Violin Sonata No.6,A major, vn pf,Chamber, NaN,"Op. 30 No. 1, Biamonti 340/1",1802.0,0.0,A
Op. 30 No. 2,,,Biamonti 340/2, Violin Sonatas : Violin Sonata No.7 ('Eroica'),C minor, vn pf,Chamber, NaN,"Op. 30 No. 2, Biamonti 340/2",1802.0,1.0,C
Op. 30 No. 3,,,Biamonti 340/3, Violin Sonatas : Violin Sonata No.8,G major, vn pf,Chamber, NaN,"Op. 30 No. 3, Biamonti 340/3",1802.0,0.0,G
Op. 31 No. 1,,,Biamonti 339/1, Piano Sonatas : Piano Sonata No.16,G major, pf,Keyboard, NaN,"Op. 31 No. 1, Biamonti 339/1",1802.0,0.0,G
Op. 31 No. 2,,,Biamonti 339/3, Piano Sonatas : Piano Sonata No.17 ('Tempest'),D minor, pf,Keyboard, NaN,"Op. 31 No. 2, Biamonti 339/3",1802.0,1.0,D
Op. 31 No. 3,,,Biamonti 339/2, Piano Sonatas : Piano Sonata No.18 ('Hunt'),E flat major, pf,Keyboard, NaN,"Op. 31 No. 3, Biamonti 339/2",1802.0,0.0,E flat
Op. 32,,,Biamonti 421," An die Hoffnung (""Die du so gern in heilgen Nächten feierst"")",, v pf,Vocal, 1st setting; see also Op.94,"Op. 32, Biamonti 421",1805.0,,
Op. 33,,,Biamonti 334, Bagatelles (7),, pf,Keyboard, NaN,"Op. 33, Biamonti 334",1802.0,,
Op. 34,,,Biamonti 327, Variations (6),F major, pf,Keyboard, NaN,"Op. 34, Biamonti 327",1802.0,0.0,F
Op. 35,,,Biamonti 328, Variations and Fugue ('Eroica Variations'),E flat major, pf,Keyboard, NaN,"Op. 35, Biamonti 328",1802.0,0.0,E flat
Op. 36,,,Biamonti 326, Symphony No.2,D major, orch,Orchestral, also arr. for vn vc pf,"Op. 36, Biamonti 326",1802.0,0.0,D
Op. 36,,,Biamonti 425, Symphony No.2,D major, vn vc pf,Chamber, arr. of version for orch,"Op. 36, Biamonti 425",1805.0,0.0,D
Op. 37,,,Biamonti 337, Piano Concerto No.3,C minor, pf orch,Orchestral, NaN,"Op. 37, Biamonti 337",1803.0,1.0,C
Op. 38,,,Biamonti 376, Trio,E flat major, cl/vn vc pf,Chamber, arr. of Op. 20,"Op. 38, Biamonti 376",1803.0,0.0,E flat
Op. 39,,,Biamonti 375, Preludes (2) ('par tous les 12 tons majeurs'),C major, pf/org,Keyboard, NaN,"Op. 39, Biamonti 375",1789.0,0.0,C
Op. 40,,,Biamonti 329, Romance,G major, vn orch,Orchestral, NaN,"Op. 40, Biamonti 329",1802.0,0.0,G
Op. 41,,Hess Anh.12,Biamonti 371, Serenade,D major, fl pf,Chamber, spurious; arr. of Op.25 by Franz Xaver Kleinheinz,"Op. 41, Biamonti 371",1803.0,0.0,D
Op. 42,,Hess Anh.13,Biamonti 372, Notturno,D major, va pf,Chamber, spurious; arr. of Op.8 by Franz Xaver Kleinheinz,"Op. 42, Biamonti 372",1804.0,0.0,D
Op. 43,,,Biamonti 288, Die Geschöpfe des Prometheus (The Creatures of Prometheus),, orch,Stage, NaN,"Op. 43, Biamonti 288",1801.0,,
Op. 44,,,Biamonti 263, Variations (14),E flat major, vn va pf,Chamber, NaN,"Op. 44, Biamonti 263",1792.0,0.0,E flat
Op. 45,,,Biamonti 377, Marches (3),, pf4h,Keyboard, NaN,"Op. 45, Biamonti 377",1803.0,,
Op. 46,,,Biamonti 111," Adelaide (""Einsam wandelt dein Freund"")",B flat major, v pf,Vocal, NaN,"Op. 46, Biamonti 111",1795.0,0.0,B flat
Op. 47,,,Biamonti 366," Violin Sonata No.9 (""Kreutzer"")",A major, vn pf,Chamber, NaN,"Op. 47, Biamonti 366",1803.0,0.0,A
Op. 48 No. 1,,,Biamonti 367/1," Lieder :  Bitten (""Gott  deine Güte reicht so weit"")",E major, v pf,Vocal, NaN,"Op. 48 No. 1, Biamonti 367/1",1802.0,0.0,E
Op. 48 No. 2,,,Biamonti 367/2," Lieder :  Die Liebe des Nächsten (""So jemand spricht: Ich liebe Gott!"")",E flat major, v pf,Vocal, NaN,"Op. 48 No. 2, Biamonti 367/2",1802.0,0.0,E flat
Op. 48 No. 3,,,Biamonti 367/3," Lieder :  Vom Tode (""Meine Lebenszeit verstreicht"")",F sharp minor, v pf,Vocal, NaN,"Op. 48 No. 3, Biamonti 367/3",1802.0,1.0,F sharp
Op. 48 No. 4,,,Biamonti 367/4," Lieder :  Die Ehre Gottes aus der Natur (""Die Himmel rühmen des Ewigen Ehre"")",C major, v pf,Vocal, NaN,"Op. 48 No. 4, Biamonti 367/4",1802.0,0.0,C
Op. 48 No. 5,,,Biamonti 367/5," Lieder :  Gottes Macht und Vorsehung (""Gott ist mein Leid!"")",C major, v pf,Vocal, NaN,"Op. 48 No. 5, Biamonti 367/5",1802.0,0.0,C
Op. 48 No. 6,,,Biamonti 367/6," Lieder :  Bußlied (""An dir allein  an dir hab ich gendigt"")",A minor, v pf,Vocal, NaN,"Op. 48 No. 6, Biamonti 367/6",1802.0,1.0,A
Op. 49 No. 1,,,Biamonti 170, Piano Sonatas : Piano Sonata No.19,G minor, pf,Keyboard, NaN,"Op. 49 No. 1, Biamonti 170",1797.0,1.0,G
Op. 49 No. 2,,,Biamonti 120, Piano Sonatas : Piano Sonata No.20,G major, pf,Keyboard, NaN,"Op. 49 No. 2, Biamonti 120",1796.0,0.0,G
Op. 50,,,Biamonti 330, Romance,F major, vn orch,Orchestral, NaN,"Op. 50, Biamonti 330",1798.0,0.0,F
Op. 51,,,, Rondos (2),, pf,Keyboard, NaN,Op. 51,1797.0,,
Op. 52 No. 1,,,Biamonti 34/1," Lieder : Urians Reise um die Welt (""Wenn jemand eine Reise tut"")",A minor, v pf,Vocal, Words by Matthias Claudius,"Op. 52 No. 1, Biamonti 34/1",1793.0,1.0,A
Op. 52 No. 2,,,Biamonti 34/2," Lieder : Feuerfarb (""Ich weiß eine Farbe"")",G major, v pf,Vocal, Words by Sophie Mereau,"Op. 52 No. 2, Biamonti 34/2",1793.0,0.0,G
Op. 52 No. 3,,,Biamonti 34/3," Lieder : Das Liedchen von der Ruhe (""Im Arm der Liebe ruht sich's wohl"")",F major, v pf,Vocal, Words by Hermann Wilhelm Franz Ueltzen,"Op. 52 No. 3, Biamonti 34/3",1793.0,0.0,F
Op. 52 No. 4,,,Biamonti 34/4," Lieder : Maigesang (Mailied) (""Wie herrlich leuchtet mir dir Natur"")",E flat major, v pf,Vocal, Words by Johann Wolfgang von Goethe,"Op. 52 No. 4, Biamonti 34/4",1793.0,0.0,E flat
Op. 52 No. 5,,,Biamonti 34/5," Lieder : Mollys Abschied (""Lebe wohl  du Mann"")",G major, v pf,Vocal, Words by Gottfried August Bürger,"Op. 52 No. 5, Biamonti 34/5",1793.0,0.0,G
Op. 52 No. 6,,,Biamonti 34/6," Lieder : Die Liebe (""Ohne Liebe lebe wer da kann"")",F major, v pf,Vocal, Words by Gotthold Ephraim Lessing,"Op. 52 No. 6, Biamonti 34/6",1793.0,0.0,F
Op. 52 No. 7,,,Biamonti 34/7," Lieder : Marmotte (""Ich komme schon durch manches Land"")",A major, v pf,Vocal, Words by Johann Wolfgang von Goethe,"Op. 52 No. 7, Biamonti 34/7",1793.0,0.0,A
Op. 52 No. 8,,,Biamonti 34/8," Lieder : Das Blümchen Wunderhold (""Es blüht ein Blümchen irgendwo"")",G major, v pf,Vocal, Words by Gottfried August Bürger,"Op. 52 No. 8, Biamonti 34/8",1793.0,0.0,G
Op. 53,,,Biamonti 411," Piano Sonata No.21 (""Waldstein"")",C major, pf,Keyboard, NaN,"Op. 53, Biamonti 411",1804.0,0.0,C
Op. 54,,,Biamonti 412, Piano Sonata No.22,F major, pf,Keyboard, NaN,"Op. 54, Biamonti 412",1804.0,0.0,F
Op. 55,,,Biamonti 406, Symphony No.3 ('Eroica'),E flat major, orch,Orchestral, NaN,"Op. 55, Biamonti 406",1803.0,0.0,E flat
Op. 56,,,Biamonti 410, Triple Concerto,C major, vn vc pf orch,Orchestral, NaN,"Op. 56, Biamonti 410",1805.0,0.0,C
Op. 57,,,Biamonti 420, Piano Sonata No.23 ('Apassionata'),F minor, pf,Keyboard, NaN,"Op. 57, Biamonti 420",1805.0,1.0,F
Op. 58,,,Biamonti 431, Piano Concerto No.4,G major, pf orch,Orchestral, arr. for 2vn va vc db pf as Op.58a,"Op. 58, Biamonti 431",1807.0,0.0,G
Op. 58a,,,Biamonti 431, Piano Concerto No.4,G major, 2vn va vc db pf,Chamber, arr. of Op.58,"Op. 58a, Biamonti 431",1807.0,0.0,G
Op. 59 No. 1,,,Biamonti 436/1, String Quartets  ('Razumovsky Quartets'): String Quartet No.7,F major, 2vn va vc,Chamber, NaN,"Op. 59 No. 1, Biamonti 436/1",1806.0,0.0,F
Op. 59 No. 2,,,Biamonti 436/2, String Quartets  ('Razumovsky Quartets'): String Quartet No.8,E minor, 2vn va vc,Chamber, NaN,"Op. 59 No. 2, Biamonti 436/2",1806.0,1.0,E
Op. 59 No. 3,,,Biamonti 436/3, String Quartets  ('Razumovsky Quartets'): String Quartet No.9,C major, 2vn va vc,Chamber, NaN,"Op. 59 No. 3, Biamonti 436/3",1806.0,0.0,C
Op. 60,,,Biamonti 429, Symphony No.4,B flat major, orch,Orchestral, NaN,"Op. 60, Biamonti 429",1806.0,0.0,B flat
Op. 61,,,Biamonti 432, Violin Concerto,D major, vn orch,Orchestral, arr for pf orch as Op.61a,"Op. 61, Biamonti 432",1806.0,0.0,D
Op. 61a,,,Biamonti 441, Piano Concerto,D major, pf orch,Orchestral, arr. of Op.61,"Op. 61a, Biamonti 441",1807.0,0.0,D
Op. 62,,,Biamonti 438, Coriolan,C minor, orch,Orchestral, NaN,"Op. 62, Biamonti 438",1807.0,1.0,C
Op. 63,,Hess Anh.14,Biamonti II/65, Piano Trio,E flat major, vn va vc,Chamber, arr. of Op.4; Beethoven's authorship doubtful,"Op. 63, Biamonti II/65",,0.0,E flat
Op. 64,,Hess Anh.15,Biamonti II/60, Cello Sonata ('Grand Sonata'),E flat major, vc pf,Chamber, spurious; arr.of Op.3 by unknown author,"Op. 64, Biamonti II/60",1807.0,0.0,E flat
Op. 65,,,Biamonti 116, Ah! Perfido,, sop orch,Vocal, NaN,"Op. 65, Biamonti 116",1796.0,,
Op. 66,,,Biamonti 160, Variations on 'Ein Mädchen oder Weibchen' (12),F major, vc pf,Chamber, based on an aria from Die Zauberflöte  K.620  by Wolfgang Amadeus Mozart,"Op. 66, Biamonti 160",1796.0,0.0,F
Op. 67,,,Biamonti 443, Symphony No.5,C minor, orch,Orchestral, NaN,"Op. 67, Biamonti 443",1808.0,1.0,C
Op. 68,,,Biamonti 453, Symphony No.6,F major, orch,Orchestral, NaN,"Op. 68, Biamonti 453",1808.0,0.0,F
Op. 69,,,Biamonti 444, Cello Sonata No.3,A major, vc pf,Chamber, NaN,"Op. 69, Biamonti 444",1808.0,0.0,A
Op. 70 No. 1,,,Biamonti 455/1, Piano Trios : Piano Trio ('Ghost'),D major, vn vc pf,Chamber, NaN,"Op. 70 No. 1, Biamonti 455/1",1808.0,0.0,D
Op. 70 No. 2,,,Biamonti 455/2, Piano Trios : Piano Trio,E flat major, vn vc pf,Chamber, NaN,"Op. 70 No. 2, Biamonti 455/2",1808.0,0.0,E flat
Op. 71,,,Biamonti 118, Sextet,E flat major, 2cl 2bn 2hn,Chamber, NaN,"Op. 71, Biamonti 118",1796.0,0.0,E flat
Op. 72,,Hess 109,Biamonti 423, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 3 acts,, vv ch orch,Stage, 1st version; includes Op. 72a,"Op. 72, Biamonti 423",1805.0,,
Op. 72,,Hess 110,Biamonti 427, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 2 acts,, vv ch orch,Stage, 2nd version; includes Op. 72b (and WoO 2/2?),"Op. 72, Biamonti 427",1806.0,,
Op. 72,,,Biamonti 570, Fidelio  opera in 2 acts,, vv ch orch,Stage, 3rd version,"Op. 72, Biamonti 570",1814.0,,
Op. 72a,,,Biamonti 423, Leonora Overture No.2,C major, orch,Orchestral, 1st version of Opp. 72b   138 (included in 1st version of Op. 72),"Op. 72a, Biamonti 423",1805.0,0.0,C
Op. 72b,,,Biamonti 427, Leonora Overture No.3,C major, orch,Orchestral, 2nd version of Opp. 72a  138 (included in 2nd version of Op. 72),"Op. 72b, Biamonti 427",1806.0,0.0,C
Op. 73,,,Biamonti 499, Piano Concerto No.5 ('Emperor'),E flat major, pf orch,Orchestral, NaN,"Op. 73, Biamonti 499",1809.0,0.0,E flat
Op. 74,,,Biamonti 485, String Quartet No.10 ('Harp'),E flat major, 2vn va vc,Chamber, NaN,"Op. 74, Biamonti 485",1809.0,0.0,E flat
Op. 75 No. 1,,,Biamonti 502/1," Gesänge : Mignon (""Kennst du das Land"")",, v pf,Vocal, NaN,"Op. 75 No. 1, Biamonti 502/1",1809.0,,
Op. 75 No. 2,,,Biamonti 502/2," Gesänge : Neue Liebe  neues Leben (""Herz  mein Herz  was soll das geben?"")",, v pf,Vocal, 2nd setting of WoO 27,"Op. 75 No. 2, Biamonti 502/2",1809.0,,
Op. 75 No. 3,,,Biamonti 502/3," Gesänge : Aus Goethes Faust (""Es war einmal ein König"")",, v pf,Vocal, NaN,"Op. 75 No. 3, Biamonti 502/3",1809.0,,
Op. 75 No. 4,,,Biamonti 502/4," Gesänge : Gretels Warnung (""Mit Liebesblick und Spiel"")",, v pf,Vocal, NaN,"Op. 75 No. 4, Biamonti 502/4",1809.0,,
Op. 75 No. 5,,,Biamonti 502/5," Gesänge : An den fernen Geliebten (""Einst wohnten süsse Ruh'"")",, v pf,Vocal, NaN,"Op. 75 No. 5, Biamonti 502/5",1809.0,,
Op. 75 No. 6,,,Biamonti 502/6," Gesänge : Der Zufriedene (""Zwar schuf das Glück hienieden"")",, v pf,Vocal, NaN,"Op. 75 No. 6, Biamonti 502/6",1809.0,,
Op. 76,,,Biamonti 494, Variations (6),D major, pf,Keyboard, NaN,"Op. 76, Biamonti 494",1809.0,0.0,D
Op. 77,,,Biamonti 492, Fantasia,G minor, pf,Keyboard, NaN,"Op. 77, Biamonti 492",1809.0,1.0,G
Op. 78,,,Biamonti 493, Piano Sonata No.24 ('A Thérèse'),F sharp major, pf,Keyboard, NaN,"Op. 78, Biamonti 493",1809.0,0.0,F sharp
Op. 79,,,Biamonti 495, Piano Sonata No.25 ('Cuckoo'),G major, pf,Keyboard, NaN,"Op. 79, Biamonti 495",1809.0,0.0,G
Op. 80,,,Biamonti 486, Fantasia in C minor ('Choral Fantasia'),C minor, ch pf orch,Vocal, NaN,"Op. 80, Biamonti 486",1809.0,1.0,C
Op. 81a,,,Biamonti 514, Piano Sonata No.26 ('Les adieux'),E flat major, pf,Keyboard, NaN,"Op. 81a, Biamonti 514",1810.0,0.0,E flat
Op. 81b,,,Biamonti 72, Sextet in E-flat major,E flat major, 2hn 2vn va vc,Chamber, NaN,"Op. 81b, Biamonti 72",1795.0,0.0,E flat
Op. 82 No. 1,,,Biamonti 513/1," Arietten und ein Duett : Hoffnung (""Dimmi  ben mio  che m'ami"")",, v pf,Vocal, NaN,"Op. 82 No. 1, Biamonti 513/1",1810.0,,
