Op.,WoO,Hess,Biamonti,title,key,scoring,genre,name,year,minor,key_note,Unv.,major-minor,type,essential
Op. 1 No. 1,,,Biamonti 62/1, Piano Trios : Piano Trio,E flat major, vn vc pf,Chamber,"Op. 1 No. 1, Biamonti 62/1",1793.0,0.0,E flat,,major,Piano Trio,other
Op. 1 No. 2,,,Biamonti 62/2, Piano Trios : Piano Trio,G major, vn vc pf,Chamber,"Op. 1 No. 2, Biamonti 62/2",1794.0,0.0,G,,major,Piano Trio,other
Op. 1 No. 3,,,Biamonti 62/3, Piano Trios : Piano Trio,C minor, vn vc pf,Chamber,"Op. 1 No. 3, Biamonti 62/3",1794.0,1.0,C,,minor,Piano Trio,other
Op. 2 No. 1,,,Biamonti 87/1, Piano Sonatas : Piano Sonata No.1,F minor, pf,Keyboard,"Op. 2 No. 1, Biamonti 87/1",1795.0,1.0,F,,minor,Sonata for Piano,other
Op. 2 No. 2,,,Biamonti 87/2, Piano Sonatas : Piano Sonata No.2,A major, pf,Keyboard,"Op. 2 No. 2, Biamonti 87/2",1795.0,0.0,A,,major,Sonata for Piano,other
Op. 2 No. 3,,,Biamonti 87/3, Piano Sonatas : Piano Sonata No.3,C major, pf,Keyboard,"Op. 2 No. 3, Biamonti 87/3",1795.0,0.0,C,,major,Sonata for Piano,other
Op. 3,,,Biamonti 105, String Trio,E flat major, vn va vc,Chamber,"Op. 3, Biamonti 105",1794.0,0.0,E flat,,major,Trio (except Piano Trio),other
Op. 4,,,Biamonti 115, String Quintet,E flat major, 2vn 2va vc,Chamber,"Op. 4, Biamonti 115",1795.0,0.0,E flat,,major,Quintet,other
Op. 5 No. 1,,,Biamonti 106/1, Cello Sonatas :  Cello Sonata No.1,F major, vc pf,Chamber,"Op. 5 No. 1, Biamonti 106/1",1796.0,0.0,F,,major,Sonata for other instruments,other
Op. 5 No. 2,,,Biamonti 106/2, Cello Sonatas :  Cello Sonata No.2,G minor, vc pf,Chamber,"Op. 5 No. 2, Biamonti 106/2",1796.0,1.0,G,,minor,Sonata for other instruments,other
Op. 6,,,Biamonti 134, Sonata for Piano Four Hands in D major,D major, pf4h,Keyboard,"Op. 6, Biamonti 134",1797.0,0.0,D,,major,Sonata for Piano,other
Op. 7,,,Biamonti 136, Piano Sonata No.4 ('Grand Sonata'),E flat major, pf,Keyboard,"Op. 7, Biamonti 136",1797.0,0.0,E flat,,major,Sonata for Piano,other
Op. 8,,,Biamonti 135, Serenade,D major, vn va vc,Chamber,"Op. 8, Biamonti 135",1797.0,0.0,D,,major,Other,other
Op. 9 No. 2,,,Biamonti 153/2, String Trios : String Trio,D major, vn va vc,Chamber,"Op. 9 No. 2, Biamonti 153/2",1798.0,0.0,D,,major,Trio (except Piano Trio),other
Op. 9 No. 3,,,Biamonti 153/3, String Trios : String Trio,C minor, vn va vc,Chamber,"Op. 9 No. 3, Biamonti 153/3",1798.0,1.0,C,,minor,Trio (except Piano Trio),other
Op. 10 No. 1,,,Biamonti 157/1, Piano Sonatas : Piano Sonata No.5,C minor, pf,Keyboard,"Op. 10 No. 1, Biamonti 157/1",1797.0,1.0,C,,minor,Sonata for Piano,other
Op. 10 No. 2,,,Biamonti 157/2, Piano Sonatas : Piano Sonata No.6,F major, pf,Keyboard,"Op. 10 No. 2, Biamonti 157/2",1797.0,0.0,F,,major,Sonata for Piano,other
Op. 10 No. 3,,,Biamonti 157/3, Piano Sonatas : Piano Sonata No.7,D major, pf,Keyboard,"Op. 10 No. 3, Biamonti 157/3",1798.0,0.0,D,,major,Sonata for Piano,other
Op. 11,,,Biamonti 156, Trio in B-flat major ('Gassenhauer'),B flat major, cl/vn vc pf,Chamber,"Op. 11, Biamonti 156",1798.0,0.0,B flat,,major,Trio (except Piano Trio),other
Op. 12 No. 1,,,Biamonti 165/1, Violin Sonatas : Violin Sonata No.1,D major, vn pf,Chamber,"Op. 12 No. 1, Biamonti 165/1",1798.0,0.0,D,,major,Sonata for Violin,other
Op. 12 No. 2,,,Biamonti 165/2, Violin Sonatas : Violin Sonata No.2,A major, vn pf,Chamber,"Op. 12 No. 2, Biamonti 165/2",1798.0,0.0,A,,major,Sonata for Violin,other
Op. 12 No. 3,,,Biamonti 165/3, Violin Sonatas : Violin Sonata No.3,E flat major, vn pf,Chamber,"Op. 12 No. 3, Biamonti 165/3",1798.0,0.0,E flat,,major,Sonata for Violin,other
Op. 13,,,Biamonti 184, Piano Sonata No.8 ('Pathétique'),C minor, pf,Keyboard,"Op. 13, Biamonti 184",1798.0,1.0,C,,minor,Sonata for Piano,Most popular compositions
Op. 14 No. 1,,,Biamonti 285, Piano Sonatas : Piano Sonata No.9,E major, pf,Keyboard,"Op. 14 No. 1, Biamonti 285",1799.0,0.0,E,,major,Sonata for Piano,other
Op. 14 No. 2,,,Biamonti 284, Piano Sonatas : Piano Sonata No.10,G major, pf,Keyboard,"Op. 14 No. 2, Biamonti 284",1799.0,0.0,G,,major,Sonata for Piano,other
Op. 15,,,Biamonti 167, Piano Concerto No.1,C major, pf orch,Orchestral,"Op. 15, Biamonti 167",1718.0,0.0,C,,major,Concerto,other
Op. 16,,,Biamonti 130, Quintet in E-flat major,E flat major, ob cl bn hn pf,Chamber,"Op. 16, Biamonti 130",1797.0,0.0,E flat,,major,Quintet,other
Op. 16a,,,Biamonti 131, Quintet in E-flat major,E flat major, vn va vc pf,Chamber,"Op. 16a, Biamonti 131",1797.0,0.0,E flat,,major,Quintet,other
Op. 17,,,Biamonti 206, Horn Sonata,F major, hn pf,Chamber,"Op. 17, Biamonti 206",1800.0,0.0,F,,major,Sonata for other instruments,other
Op. 18 No. 1,,,Biamonti 225/1, String Quartets : String Quartet No.1,F major, 2vn va vc,Chamber,"Op. 18 No. 1, Biamonti 225/1",1718.0,0.0,F,,major,String Quartet,other
Op. 18 No. 2,,,Biamonti 225/2, String Quartets : String Quartet No.2,G major, 2vn va vc,Chamber,"Op. 18 No. 2, Biamonti 225/2",1718.0,0.0,G,,major,String Quartet,other
Op. 18 No. 3,,,Biamonti 225/3, String Quartets : String Quartet No.3,D major, 2vn va vc,Chamber,"Op. 18 No. 3, Biamonti 225/3",1718.0,0.0,D,,major,String Quartet,other
Op. 18 No. 4,,,Biamonti 225/4, String Quartets : String Quartet No.4,C minor, 2vn va vc,Chamber,"Op. 18 No. 4, Biamonti 225/4",1718.0,1.0,C,,minor,String Quartet,other
Op. 18 No. 5,,,Biamonti 225/5, String Quartets : String Quartet No.5,A major, 2vn va vc,Chamber,"Op. 18 No. 5, Biamonti 225/5",1718.0,0.0,A,,major,String Quartet,other
Op. 18 No. 6,,,Biamonti 225/6, String Quartets : String Quartet No.6,B flat major, 2vn va vc,Chamber,"Op. 18 No. 6, Biamonti 225/6",1718.0,0.0,B flat,,major,String Quartet,Most popular compositions
Op. 19,,,Biamonti 166, Piano Concerto No.2,B flat major, pf orch,Orchestral,"Op. 19, Biamonti 166",1718.0,0.0,B flat,,major,Concerto,other
Op. 20,,,Biamonti 204, Septet,E flat major, cl bn hn vn va vc db,Chamber,"Op. 20, Biamonti 204",1799.0,0.0,E flat,,major,"Sextet, Septet or Octet",other
Op. 21,,,Biamonti 203, Symphony No.1,C major, orch,Orchestral,"Op. 21, Biamonti 203",1718.0,0.0,C,,major,Symphony,other
Op. 22,,,Biamonti 208, Piano Sonata No.11,B flat major, pf,Keyboard,"Op. 22, Biamonti 208",1800.0,0.0,B flat,,major,Sonata for Piano,other
Op. 23,,,Biamonti 293, Violin Sonata No.4,A minor, vn pf,Chamber,"Op. 23, Biamonti 293",1801.0,1.0,A,,minor,Sonata for Violin,Most popular compositions
Op. 24,,,Biamonti 294, Violin Sonata No.5,F major, vn pf,Chamber,"Op. 24, Biamonti 294",1801.0,0.0,F,,major,Sonata for Violin,Most popular compositions
Op. 25,,,Biamonti 114, Serenade,D major, For flute  violin  viola,Chamber,"Op. 25, Biamonti 114",1801.0,0.0,D,,major,Other,other
Op. 26,,,Biamonti 296, Piano Sonata No.12 ('Funeral March'),A flat major, pf,Keyboard,"Op. 26, Biamonti 296",1801.0,0.0,A flat,,major,Sonata for Piano,other
Op. 27 No. 1,,,Biamonti 297/1, Piano Sonatas : Piano Sonata No.13 ('Quasi una fantasia'),E flat major, pf,Keyboard,"Op. 27 No. 1, Biamonti 297/1",1801.0,0.0,E flat,,major,Sonata for Piano,other
Op. 27 No. 2,,,Biamonti 297/2, Piano Sonatas : Piano Sonata No.14 ('Moonlight'),C sharp minor, pf,Keyboard,"Op. 27 No. 2, Biamonti 297/2",1801.0,1.0,C sharp,,minor,Sonata for Piano,Most popular compositions
Op. 28,,,Biamonti 302, Piano Sonata No.15 ('Pastoral'),D major, pf,Keyboard,"Op. 28, Biamonti 302",1801.0,0.0,D,,major,Sonata for Piano,Most popular compositions
Op. 29,,,Biamonti 298, String Quintet in C major ('Storm'),C major, 2vn 2va vc,Chamber,"Op. 29, Biamonti 298",1801.0,0.0,C,,major,Quintet,other
Op. 30 No. 1,,,Biamonti 340/1, Violin Sonatas : Violin Sonata No.6,A major, vn pf,Chamber,"Op. 30 No. 1, Biamonti 340/1",1802.0,0.0,A,,major,Sonata for Violin,other
Op. 30 No. 2,,,Biamonti 340/2, Violin Sonatas : Violin Sonata No.7 ('Eroica'),C minor, vn pf,Chamber,"Op. 30 No. 2, Biamonti 340/2",1802.0,1.0,C,,minor,Sonata for Violin,Most popular compositions
Op. 30 No. 3,,,Biamonti 340/3, Violin Sonatas : Violin Sonata No.8,G major, vn pf,Chamber,"Op. 30 No. 3, Biamonti 340/3",1802.0,0.0,G,,major,Sonata for Violin,Most popular compositions
Op. 31 No. 1,,,Biamonti 339/1, Piano Sonatas : Piano Sonata No.16,G major, pf,Keyboard,"Op. 31 No. 1, Biamonti 339/1",1802.0,0.0,G,,major,Sonata for Piano,other
Op. 31 No. 2,,,Biamonti 339/3, Piano Sonatas : Piano Sonata No.17 ('Tempest'),D minor, pf,Keyboard,"Op. 31 No. 2, Biamonti 339/3",1802.0,1.0,D,,minor,Sonata for Piano,other
Op. 31 No. 3,,,Biamonti 339/2, Piano Sonatas : Piano Sonata No.18 ('Hunt'),E flat major, pf,Keyboard,"Op. 31 No. 3, Biamonti 339/2",1802.0,0.0,E flat,,major,Sonata for Piano,Most popular compositions
Op. 32,,,Biamonti 421," An die Hoffnung (""Die du so gern in heilgen Nächten feierst"")",unknown, v pf,Vocal,"Op. 32, Biamonti 421",1805.0,,unknown,,unknown key,Song,other
Op. 33,,,Biamonti 334, Bagatelles (7),unknown, pf,Keyboard,"Op. 33, Biamonti 334",1802.0,,unknown,,unknown key,Bagatelle,other
Op. 34,,,Biamonti 327, Variations (6),F major, pf,Keyboard,"Op. 34, Biamonti 327",1802.0,0.0,F,,major,Piano variations,other
Op. 35,,,Biamonti 328, Variations and Fugue ('Eroica Variations'),E flat major, pf,Keyboard,"Op. 35, Biamonti 328",1802.0,0.0,E flat,,major,Fugue for Piano,other
Op. 36,,,Biamonti 326, Symphony No.2,D major, orch,Orchestral,"Op. 36, Biamonti 326",1802.0,0.0,D,,major,Symphony,other
Op. 36,,,Biamonti 425, Symphony No.2,D major, vn vc pf,Chamber,"Op. 36, Biamonti 425",1805.0,0.0,D,,major,Other,other
Op. 37,,,Biamonti 337, Piano Concerto No.3,C minor, pf orch,Orchestral,"Op. 37, Biamonti 337",1803.0,1.0,C,,minor,Concerto,other
Op. 38,,,Biamonti 376, Trio,E flat major, cl/vn vc pf,Chamber,"Op. 38, Biamonti 376",1803.0,0.0,E flat,,major,Trio (except Piano Trio),Most popular compositions
Op. 39,,,Biamonti 375, Preludes (2) ('par tous les 12 tons majeurs'),C major, pf/org,Keyboard,"Op. 39, Biamonti 375",1789.0,0.0,C,,major,Other,other
Op. 40,,,Biamonti 329, Romance,G major, vn orch,Orchestral,"Op. 40, Biamonti 329",1802.0,0.0,G,,major,Other works for soloist and orchestra,other
Op. 41,,Hess Anh.12,Biamonti 371, Serenade,D major, fl pf,Chamber,"Op. 41, Biamonti 371",1803.0,0.0,D,,major,Other,other
Op. 42,,Hess Anh.13,Biamonti 372, Notturno,D major, va pf,Chamber,"Op. 42, Biamonti 372",1804.0,0.0,D,,major,Other,other
Op. 43,,,Biamonti 288, Die Geschöpfe des Prometheus (The Creatures of Prometheus),unknown, orch,Orchestral,"Op. 43, Biamonti 288",1801.0,,unknown,,unknown key,Music for Ballet,other
Op. 44,,,Biamonti 263, Variations (14),E flat major, vn va pf,Chamber,"Op. 44, Biamonti 263",1792.0,0.0,E flat,,major,Other,other
Op. 45,,,Biamonti 377, Marches (3),unknown, pf4h,Keyboard,"Op. 45, Biamonti 377",1803.0,,unknown,,unknown key,March for Piano,other
Op. 46,,,Biamonti 111," Adelaide (""Einsam wandelt dein Freund"")",B flat major, v pf,Vocal,"Op. 46, Biamonti 111",1795.0,0.0,B flat,,major,Song,other
Op. 47,,,Biamonti 366," Violin Sonata No.9 (""Kreutzer"")",A major, vn pf,Chamber,"Op. 47, Biamonti 366",1803.0,0.0,A,,major,Sonata for Violin,Most popular compositions
Op. 48 No. 1,,,Biamonti 367/1," Lieder :  Bitten (""Gott  deine Güte reicht so weit"")",E major, v pf,Vocal,"Op. 48 No. 1, Biamonti 367/1",1802.0,0.0,E,,major,Song,other
Op. 48 No. 2,,,Biamonti 367/2," Lieder :  Die Liebe des Nächsten (""So jemand spricht: Ich liebe Gott!"")",E flat major, v pf,Vocal,"Op. 48 No. 2, Biamonti 367/2",1802.0,0.0,E flat,,major,Song,other
Op. 48 No. 3,,,Biamonti 367/3," Lieder :  Vom Tode (""Meine Lebenszeit verstreicht"")",F sharp minor, v pf,Vocal,"Op. 48 No. 3, Biamonti 367/3",1802.0,1.0,F sharp,,minor,Song,other
Op. 48 No. 4,,,Biamonti 367/4," Lieder :  Die Ehre Gottes aus der Natur (""Die Himmel rühmen des Ewigen Ehre"")",C major, v pf,Vocal,"Op. 48 No. 4, Biamonti 367/4",1802.0,0.0,C,,major,Song,other
Op. 48 No. 5,,,Biamonti 367/5," Lieder :  Gottes Macht und Vorsehung (""Gott ist mein Leid!"")",C major, v pf,Vocal,"Op. 48 No. 5, Biamonti 367/5",1802.0,0.0,C,,major,Song,other
Op. 48 No. 6,,,Biamonti 367/6," Lieder :  Bußlied (""An dir allein  an dir hab ich gendigt"")",A minor, v pf,Vocal,"Op. 48 No. 6, Biamonti 367/6",1802.0,1.0,A,,minor,Song,other
Op. 49 No. 1,,,Biamonti 170, Piano Sonatas : Piano Sonata No.19,G minor, pf,Keyboard,"Op. 49 No. 1, Biamonti 170",1797.0,1.0,G,,minor,Sonata for Piano,other
Op. 49 No. 2,,,Biamonti 120, Piano Sonatas : Piano Sonata No.20,G major, pf,Keyboard,"Op. 49 No. 2, Biamonti 120",1796.0,0.0,G,,major,Sonata for Piano,other
Op. 50,,,Biamonti 330, Romance,F major, vn orch,Orchestral,"Op. 50, Biamonti 330",1798.0,0.0,F,,major,Other works for soloist and orchestra,other
Op. 51,,,, Rondos (2),unknown, pf,Keyboard,Op. 51,1797.0,,unknown,,unknown key,Rondo for Piano,other
Op. 52 No. 1,,,Biamonti 34/1," Lieder : Urians Reise um die Welt (""Wenn jemand eine Reise tut"")",A minor, v pf,Vocal,"Op. 52 No. 1, Biamonti 34/1",1793.0,1.0,A,,minor,Song,other
Op. 52 No. 2,,,Biamonti 34/2," Lieder : Feuerfarb (""Ich weiß eine Farbe"")",G major, v pf,Vocal,"Op. 52 No. 2, Biamonti 34/2",1793.0,0.0,G,,major,Song,other
Op. 52 No. 3,,,Biamonti 34/3," Lieder : Das Liedchen von der Ruhe (""Im Arm der Liebe ruht sich's wohl"")",F major, v pf,Vocal,"Op. 52 No. 3, Biamonti 34/3",1793.0,0.0,F,,major,Song,other
Op. 52 No. 4,,,Biamonti 34/4," Lieder : Maigesang (Mailied) (""Wie herrlich leuchtet mir dir Natur"")",E flat major, v pf,Vocal,"Op. 52 No. 4, Biamonti 34/4",1793.0,0.0,E flat,,major,Song,other
Op. 52 No. 5,,,Biamonti 34/5," Lieder : Mollys Abschied (""Lebe wohl  du Mann"")",G major, v pf,Vocal,"Op. 52 No. 5, Biamonti 34/5",1793.0,0.0,G,,major,Song,other
Op. 52 No. 6,,,Biamonti 34/6," Lieder : Die Liebe (""Ohne Liebe lebe wer da kann"")",F major, v pf,Vocal,"Op. 52 No. 6, Biamonti 34/6",1793.0,0.0,F,,major,Song,other
Op. 52 No. 7,,,Biamonti 34/7," Lieder : Marmotte (""Ich komme schon durch manches Land"")",A major, v pf,Vocal,"Op. 52 No. 7, Biamonti 34/7",1793.0,0.0,A,,major,Song,other
Op. 52 No. 8,,,Biamonti 34/8," Lieder : Das Blümchen Wunderhold (""Es blüht ein Blümchen irgendwo"")",G major, v pf,Vocal,"Op. 52 No. 8, Biamonti 34/8",1793.0,0.0,G,,major,Song,other
Op. 53,,,Biamonti 411," Piano Sonata No.21 (""Waldstein"")",C major, pf,Keyboard,"Op. 53, Biamonti 411",1804.0,0.0,C,,major,Sonata for Piano,Most popular compositions
Op. 54,,,Biamonti 412, Piano Sonata No.22,F major, pf,Keyboard,"Op. 54, Biamonti 412",1804.0,0.0,F,,major,Sonata for Piano,other
Op. 55,,,Biamonti 406, Symphony No.3 ('Eroica'),E flat major, orch,Orchestral,"Op. 55, Biamonti 406",1803.0,0.0,E flat,,major,Symphony,Most popular compositions
Op. 56,,,Biamonti 410, Triple Concerto,C major, vn vc pf orch,Orchestral,"Op. 56, Biamonti 410",1805.0,0.0,C,,major,Concerto,other
Op. 57,,,Biamonti 420, Piano Sonata No.23 ('Apassionata'),F minor, pf,Keyboard,"Op. 57, Biamonti 420",1805.0,1.0,F,,minor,Sonata for Piano,Most popular compositions
Op. 58,,,Biamonti 431, Piano Concerto No.4,G major, pf orch,Orchestral,"Op. 58, Biamonti 431",1807.0,0.0,G,,major,Concerto,other
Op. 59 No. 1,,,Biamonti 436/1, String Quartets  ('Razumovsky Quartets'): String Quartet No.7,F major, 2vn va vc,Chamber,"Op. 59 No. 1, Biamonti 436/1",1806.0,0.0,F,,major,String Quartet,other
Op. 59 No. 2,,,Biamonti 436/2, String Quartets  ('Razumovsky Quartets'): String Quartet No.8,E minor, 2vn va vc,Chamber,"Op. 59 No. 2, Biamonti 436/2",1806.0,1.0,E,,minor,String Quartet,other
Op. 59 No. 3,,,Biamonti 436/3, String Quartets  ('Razumovsky Quartets'): String Quartet No.9,C major, 2vn va vc,Chamber,"Op. 59 No. 3, Biamonti 436/3",1806.0,0.0,C,,major,String Quartet,other
Op. 60,,,Biamonti 429, Symphony No.4,B flat major, orch,Orchestral,"Op. 60, Biamonti 429",1806.0,0.0,B flat,,major,Symphony,Most popular compositions
Op. 61,,,Biamonti 432, Violin Concerto,D major, vn orch,Orchestral,"Op. 61, Biamonti 432",1806.0,0.0,D,,major,Concerto,other
Op. 61a,,,Biamonti 441, Piano Concerto,D major, pf orch,Orchestral,"Op. 61a, Biamonti 441",1807.0,0.0,D,,major,Concerto,other
Op. 62,,,Biamonti 438, Coriolan,C minor, orch,Orchestral,"Op. 62, Biamonti 438",1807.0,1.0,C,,minor,Overture,Most popular compositions
Op. 63,,Hess Anh.14,Biamonti II/65, Piano Trio,E flat major, vn va vc,Chamber,"Op. 63, Biamonti II/65",,0.0,E flat,,major,Piano Trio,other
Op. 64,,Hess Anh.15,Biamonti II/60, Cello Sonata ('Grand Sonata'),E flat major, vc pf,Chamber,"Op. 64, Biamonti II/60",1807.0,0.0,E flat,,major,Sonata for other instruments,other
Op. 65,,,Biamonti 116, Ah! Perfido,unknown, sop orch,Vocal,"Op. 65, Biamonti 116",1796.0,,unknown,,unknown key,Song,other
Op. 66,,,Biamonti 160, Variations on 'Ein Mädchen oder Weibchen' (12),F major, vc pf,Chamber,"Op. 66, Biamonti 160",1796.0,0.0,F,,major,Other,other
Op. 67,,,Biamonti 443, Symphony No.5,C minor, orch,Orchestral,"Op. 67, Biamonti 443",1808.0,1.0,C,,minor,Symphony,Included in Voyager Golden Record
Op. 68,,,Biamonti 453, Symphony No.6,F major, orch,Orchestral,"Op. 68, Biamonti 453",1808.0,0.0,F,,major,Symphony,Most popular compositions
Op. 69,,,Biamonti 444, Cello Sonata No.3,A major, vc pf,Chamber,"Op. 69, Biamonti 444",1808.0,0.0,A,,major,Sonata for other instruments,other
Op. 70 No. 1,,,Biamonti 455/1, Piano Trios : Piano Trio ('Ghost'),D major, vn vc pf,Chamber,"Op. 70 No. 1, Biamonti 455/1",1808.0,0.0,D,,major,Piano Trio,other
Op. 70 No. 2,,,Biamonti 455/2, Piano Trios : Piano Trio,E flat major, vn vc pf,Chamber,"Op. 70 No. 2, Biamonti 455/2",1808.0,0.0,E flat,,major,Piano Trio,other
Op. 71,,,Biamonti 118, Sextet,E flat major, 2cl 2bn 2hn,Chamber,"Op. 71, Biamonti 118",1796.0,0.0,E flat,,major,"Sextet, Septet or Octet",Most popular compositions
Op. 72,,Hess 109,Biamonti 423, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 3 acts,unknown, vv ch orch,Vocal,"Op. 72, Biamonti 423",1805.0,,unknown,,unknown key,Song,other
Op. 72,,Hess 110,Biamonti 427, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 2 acts,unknown, vv ch orch,Vocal,"Op. 72, Biamonti 427",1806.0,,unknown,,unknown key,Song,other
Op. 72,,,Biamonti 570, Fidelio  opera in 2 acts,unknown, vv ch orch,Vocal,"Op. 72, Biamonti 570",1814.0,,unknown,,unknown key,Song,other
Op. 72a,,,Biamonti 423, Leonora Overture No.2,C major, orch,Orchestral,"Op. 72a, Biamonti 423",1805.0,0.0,C,,major,Overture,other
Op. 72b,,,Biamonti 427, Leonora Overture No.3,C major, orch,Orchestral,"Op. 72b, Biamonti 427",1806.0,0.0,C,,major,Overture,other
Op. 73,,,Biamonti 499, Piano Concerto No.5 ('Emperor'),E flat major, pf orch,Orchestral,"Op. 73, Biamonti 499",1809.0,0.0,E flat,,major,Concerto,Most popular compositions
Op. 74,,,Biamonti 485, String Quartet No.10 ('Harp'),E flat major, 2vn va vc,Chamber,"Op. 74, Biamonti 485",1809.0,0.0,E flat,,major,String Quartet,Most popular compositions
Op. 75 No. 1,,,Biamonti 502/1," Gesänge : Mignon (""Kennst du das Land"")",unknown, v pf,Vocal,"Op. 75 No. 1, Biamonti 502/1",1809.0,,unknown,,unknown key,Song,other
Op. 75 No. 2,,,Biamonti 502/2," Gesänge : Neue Liebe  neues Leben (""Herz  mein Herz  was soll das geben?"")",unknown, v pf,Vocal,"Op. 75 No. 2, Biamonti 502/2",1809.0,,unknown,,unknown key,Song,other
